id;name;artists;popularity;year;release_date
7rqaqQurHzR5xHAhdm1gmM;Goodbye Earl;['The Chicks'];61;1999;27/08/1999
7lL2lMWNtzOcf5HnEudNgn;Everyday People;['Sly & The Family Stone'];63;1999;08/10/1999
5Mmk2ii6laakqfeCT7OnVD;Thong Song;['Sisqo'];67;1999;01/01/1999
3XKIUb7HzIF1Vu9usunMzc;Maria Maria (feat. The Product G&B);['Santana', 'The Product G&B'];67;1999;15/06/1999
3mmi9qWiD7wt9yIq8fmw1Q;"Strangers Like Me - From ""Tarzan""/Soundtrack Version";['Phil Collins'];58;1999;01/01/1999
4anqYZt4APNlFwQixpbdZR;Da Rockwilder;['Method Man', 'Redman'];66;1999;01/01/1999
1cU34sZG9kF4FYHCoAD0Ib;Some Kind Of Wonderful - Remastered 1999;['Grand Funk Railroad'];62;1999;01/01/1999
15DLl1r2zi07Ssq5RT1yT0;Wait and Bleed;['Slipknot'];59;1999;12/06/1999
2O2mr2gzBRtKGRiswqRyiN;Take a Picture;['Filter'];63;1999;24/08/1999
4mYjAVC8iW31MNjJ7OA1PX;Dependo Cada Día Más De Ti;['Grupo Exterminador'];62;1999;01/01/1999
6sbXGUn9V9ZaLwLdOfpKRE;Larger Than Life;['Backstreet Boys'];67;1999;18/05/1999
1TEZWG1FdjzDdercCguTwj;Nookie;['Limp Bizkit'];66;1999;1999
2HmMklpgK8vGCpJmPpz1yG;How Forever Feels;['Kenny Chesney'];59;1999;26/02/1999
4agp6oHofabdUedr0B1krj;Steal My Sunshine;['LEN'];59;1999;25/05/1999
2uZwyxrg6VPvlVsvclIfel;Where I Wanna Be;['Donell Jones'];60;1999;29/05/1999
7rDcULv8vV16vetBjPJhuE;How Do You Like Me Now?!;['Toby Keith'];59;1999;01/01/1999
6nozDLxeL0TE4MS9GqYU1v;I Knew I Loved You;['Savage Garden'];70;1999;09/11/1999
5hrxAFrYbNTLjAYSrmbpgr;El Listón De Tu Pelo;['Los Ángeles Azules'];68;1999;01/01/1999
1ghlpxVfPbFH2jenrv9vVw;Duel of the Fates;['John Williams', 'London Symphony Orchestra'];63;1999;04/05/1999
5EYdTPdJD74r9EVZBztqGG;The Bad Touch;['Bloodhound Gang'];71;1999;04/10/1999
3hfMKCMfKcKctpjtH0TB76;Right Where I Need To Be;['Gary Allan'];58;1999;19/10/1999
15MJ5NThPjj6xhPcts8MiY;"Take My Breath Away - Love Theme from ""Top Gun""";['Berlin'];71;1999;01/01/1999
62qI8m0sXpzlSjYYx0nZ83;Si No Te Hubieras Ido;['Marco Antonio Solís'];66;1999;1999
6da04YB906XonC6IQNC44u;Guilty Conscience;['Eminem', 'Dr. Dre'];64;1999;23/02/1999
4h7wUvVV8Ff8UL7JqAByiL;I Don't Wanna;['Aaliyah'];59;1999;14/12/1999
7A07Yu1dRND3RKDzbhKrDs;Fuerte No Soy;['Intocable'];71;1999;01/01/1999
7A0apkTSTvMbSI7yplcmlh;Come on over Baby (All I Want Is You) - Radio Version;['Christina Aguilera'];64;1999;1999
5PMKzsUsTpZZGsCcJBuhP2;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";"['Donell Jones', 'Lisa ""Left Eye"" Lopes']";64;1999;29/05/1999
6BQNJ0JFKh8sWjQLI6Zudi;Change the World;['Eric Clapton'];67;1999;12/10/1999
2zbjlcLi1VQWqDNYdhyx1l;So Anxious;['Ginuwine'];58;1999;15/03/1999
751gBcu62kORDelX7FV0mM;Thank You;['Dido'];59;1999;01/06/1999
0aGQHMr7bc23Y9Ts84ffop;Around the World;['Red Hot Chili Peppers'];67;1999;08/06/1999
5mKxNjNnRFpO9Muzw3Ug0u;(There's No Place Like) Home for the Holidays - 1954 Version;['Perry Como'];59;1999;20/08/1999
5BeY2wY4rGFD1Q3aXO83Bv;My Best Friend;['Tim McGraw'];58;1999;04/05/1999
6ISuXA3UCPMtsyEUGUTAyn;Stellar;['Incubus'];60;1999;26/10/1999
5yaCquc7koPqtgj7v0lwHX;Waiting for Tonight;['Jennifer Lopez'];62;1999;01/06/1999
6vgN6KGstss0GnBbKlMNK9;The Way You Love Me;['Faith Hill'];59;1999;09/11/1999
